NodeIndex,Opt,EDDBM,DBM
0,0.0134316,6.47176e-005,6.49426e-005
1,0.00298749,0.00567807,0.00190498
2,0.00289392,0.00681368,0.00228598
3,0.00256257,0.00681368,0.00228598
4,0.00236263,0.000335009,0.000336173
5,0.00236179,0.0085171,0.00285747
6,0.0016458,0.000474596,0.000476246
7,0.00157747,0.000335009,0.000336173
8,0.00110987,0.0113561,0.00380997
9,0.000825083,0.000813593,0.000816421
10,0.000805281,0.000517741,0.000519541
11,0.000759076,0.000813593,0.000816421
12,0.00071406,0.000632795,0.000634994
13,0.000594059,0.00189838,0.00190498
14,0.000536454,3.96687e-005,0.000119061
15,0.00049505,0.00142379,0.00142874
16,0.000488449,0.000711894,0.000714369
17,0.000435412,0.000949192,0.000952491
18,0.000391161,0.000105783,0.000317497
19,0.000264026,0.000949192,0.000952491
20,0.000264026,0.00142379,0.00142874
21,0.000251297,0.000632795,0.000634994
22,0.000223848,8.65498e-005,0.00025977
23,0.000208442,0.00019041,0.000571495
24,0.000166754,6.80034e-005,0.000204105
25,0.000158416,0.00189838,0.00190498
26,0.000156216,0.00189838,0.00190498
27,0.000135014,6.80034e-005,0.000204105
28,0.000132013,0.00189838,0.00190498
29,0.000132013,0.00142379,0.00142874
30,0.000132013,0.00189838,0.00190498
31,0.000127298,0.00189838,0.00190498
32,0.000125065,0.000119006,0.000357184
33,0.000108011,0.000158675,0.000476246
34,9.90099e-005,0.00189838,0.00190498
35,9.90099e-005,0.00142379,0.00142874
36,7.92079e-005,0.00189838,0.00190498
37,6.66067e-005,0.00142379,0.00142874
38,6.60066e-005,0.000317349,0.000952491
39,6.60066e-005,0.00189838,0.00190498
40,3.9604e-005,0.00189838,0.00190498
41,3.30033e-005,0.000238012,0.000714369
42,2.93363e-005,0.000317349,0.000952491
43,2.55509e-005,0.000317349,0.000952491
44,2.08442e-005,0.000119006,0.000357184
45,0,0.000238012,0.000714369
46,0,0.00189838,0.00190498
47,0,0.000238012,0.000714369
48,0,0.00019041,0.000571495
49,0,0.000317349,0.000952491
50,0,0.000317349,0.000952491
51,0,0.000317349,0.000952491
52,0,0.000317349,0.000952491
53,0,0.00142379,0.00142874
54,0,0.000317349,0.000952491
55,0,0.000158675,0.000476246
56,0,0.000317349,0.000952491
57,0,0.000317349,0.000952491
58,0,0.000158675,0.000476246
59,0,0.00189838,0.00190498
60,0,0.000238012,0.000714369
61,0,0.000317349,0.000952491
62,0,5.30507e-005,0.000476246
63,0,0.000317349,0.000952491
64,0,0.000317349,0.000952491
65,0,0.000317349,0.000952491
66,0,0.000317349,0.000952491
67,0,0.000238012,0.000714369
68,0,0.000317349,0.000952491
69,0,0.00019041,0.000571495
70,0,0.000238012,0.000714369
71,0,0.000238012,0.000714369
72,0,0.00189838,0.00190498
73,0,0.00189838,0.00190498
74,0,0.000238012,0.000714369
75,0,0.00142379,0.00142874
76,0,0.000238012,0.000714369
77,0,0.00189838,0.00190498
78,0,0.000238012,0.000714369
79,0,0.000317349,0.000952491
80,0,0.000317349,0.000952491
81,0,0.000317349,0.000952491
82,0,0.00019041,0.000571495
83,0,0.000238012,0.000714369
84,0,0.000317349,0.000952491
85,0,0.000317349,0.000952491
86,0,0.000238012,0.000714369
87,0,0.000238012,0.000714369
88,0,0.000317349,0.000952491
89,0,0.000158675,0.000476246
90,0,0.000317349,0.000952491
91,0,0.00189838,0.00190498
92,0,0.000317349,0.000952491
93,0,7.93373e-005,0.000238123
94,0,0.000317349,0.000952491
95,0,0.000317349,0.000952491
96,0,0.00019041,0.000571495
97,0,0.000317349,0.000952491
98,0,0.000238012,0.000714369
99,0,0.000317349,0.000952491
