# Synthetic graph: as-22july06 synthetic equivalent (BA model n=22963 m=2)
# Nodes: 22963  Edges: 45923
# FromNodeId	ToNodeId
0	1
0	2
0	3
0	4
0	9
0	13
0	14
0	16
0	18
0	21
0	24
0	25
0	31
0	32
0	51
0	56
0	66
0	74
0	76
0	77
0	78
0	81
0	83
0	92
0	98
0	101
0	107
0	111
0	113
0	122
0	131
0	156
0	165
0	199
0	210
0	241
0	254
0	294
0	324
0	346
0	363
0	380
0	397
0	398
0	412
0	417
0	442
0	524
0	547
0	553
0	564
0	578
0	588
0	605
0	617
0	618
0	626
0	627
0	651
0	665
0	669
0	676
0	684
0	720
0	723
0	730
0	736
0	748
0	763
0	764
0	795
0	827
0	839
0	861
0	882
0	896
0	912
0	929
0	943
0	990
0	1000
0	1018
0	1050
0	1087
0	1089
0	1091
0	1097
0	1196
0	1212
0	1216
0	1245
0	1279
0	1351
0	1359
0	1385
0	1462
0	1464
0	1510
0	1521
0	1542
0	1566
0	1573
0	1576
0	1635
0	1660
0	1663
0	1722
0	1726
0	1878
0	1885
0	1893
0	1942
0	1943
0	1955
0	1984
0	2049
0	2079
0	2107
0	2128
0	2129
0	2238
0	2281
0	2300
0	2328
0	2336
0	2375
0	2446
0	2463
0	2482
0	2516
0	2524
0	2562
0	2580
0	2583
0	2613
0	2616
0	2631
0	2673
0	2717
0	2754
0	2854
0	2857
0	2897
0	2923
0	2943
0	2944
0	2955
0	3021
0	3156
0	3180
0	3184
0	3188
0	3243
0	3299
0	3331
0	3350
0	3423
0	3506
0	3510
0	3515
0	3535
0	3536
0	3596
0	3601
0	3628
0	3659
0	3722
0	3760
0	3807
0	3820
0	3848
0	3879
0	3896
0	3904
0	3911
0	4042
0	4064
0	4157
0	4180
0	4222
0	4277
0	4329
0	4403
0	4475
0	4476
0	4488
0	4497
0	4568
0	4652
0	4724
0	4733
0	4739
0	4981
0	5049
0	5158
0	5252
0	5285
0	5388
0	5406
0	5445
0	5520
0	5709
0	5735
0	5745
0	5763
0	5816
0	5945
0	5969
0	5991
0	6007
0	6036
0	6089
0	6184
0	6206
0	6299
0	6598
0	6692
0	6713
0	6797
0	6800
0	6852
0	6902
0	6934
0	7004
0	7023
0	7314
0	7453
0	7497
0	7525
0	7562
0	7574
0	7711
0	7713
0	7787
0	7816
0	7880
0	7987
0	8006
0	8189
0	8238
0	8268
0	8311
0	8316
0	8378
0	8399
0	8401
0	8408
0	8471
0	8558
0	8669
0	8683
0	8846
0	8979
0	9147
0	9486
0	9526
0	9646
0	9778
0	9853
0	9869
0	9969
0	10156
0	10268
0	10416
0	10588
0	10629
0	10637
0	10759
0	10854
0	10907
0	10930
0	11023
0	11042
0	11074
0	11213
0	11234
0	11267
0	11284
0	11475
0	11522
0	11580
0	11656
0	11849
0	11993
0	12152
0	12195
0	12251
0	12263
0	12276
0	12317
0	12588
0	12619
0	12813
0	13001
0	13009
0	13078
0	13105
0	13114
0	13290
0	13325
0	13458
0	13527
0	13587
0	13699
0	14058
0	14105
0	14110
0	14176
0	14272
0	14328
0	14409
0	14416
0	14420
0	14453
0	14527
0	14609
0	14928
0	15004
0	15025
0	15070
0	15174
0	15186
0	15234
0	15269
0	15282
0	15288
0	15408
0	15523
0	15687
0	15734
0	16292
0	16418
0	16569
0	16662
0	16670
0	16672
0	16706
0	16909
0	16936
0	16993
0	16995
0	17130
0	17236
0	17313
0	17355
0	17417
0	17458
0	17476
0	17511
0	17653
0	17792
0	17901
0	17933
0	18259
0	18513
0	18518
0	18652
0	18875
0	18912
0	19192
0	19289
0	19298
0	19427
0	19510
0	19720
0	20189
0	20417
0	20447
0	20591
0	20604
0	20615
0	21025
0	21035
0	21071
0	21185
0	21554
0	21592
0	21605
0	21927
0	21993
0	22215
0	22261
0	22467
0	22477
0	22699
0	22710
0	22734
0	22792
1	2
1	3
1	5
1	28
1	30
1	31
1	35
1	39
1	68
1	120
1	159
1	169
1	175
1	181
1	198
1	203
1	220
1	227
1	228
1	256
1	270
1	303
1	317
1	339
1	351
1	379
1	387
1	388
1	416
1	421
1	436
1	456
1	495
1	535
1	616
1	620
1	673
1	685
1	691
1	747
1	755
1	757
1	784
1	848
1	880
1	891
1	899
1	938
1	940
1	1006
1	1154
1	1170
1	1208
1	1263
1	1281
1	1319
1	1333
1	1368
1	1410
1	1411
1	1509
1	1523
1	1656
1	1733
1	1825
1	1861
1	1906
1	1997
1	2055
1	2093
1	2099
1	2102
1	2157
1	2263
1	2278
1	2342
1	2426
1	2428
1	2467
1	2568
1	2578
1	2630
1	2780
1	2941
1	2967
1	3024
1	3041
1	3285
1	3403
1	3546
1	3580
1	3639
1	3740
1	3790
1	3961
1	4017
1	4038
1	4077
1	4130
1	4157
1	4169
1	4175
1	4248
1	4373
1	4512
1	4603
1	4615
1	4773
1	4781
1	4829
1	4912
1	4979
1	5024
1	5062
1	5193
1	5196
1	5278
1	5334
1	5379
1	5493
1	5649
1	5728
1	5737
1	5768
1	5827
1	5830
1	6114
1	6120
1	6169
1	6278
1	6329
1	6452
1	6496
1	6641
1	6682
1	6756
1	6815
1	6845
1	6915
1	7053
1	7145
1	7476
1	7492
1	7644
1	7714
1	8050
1	8102
1	8269
1	8381
1	8702
1	9063
1	9076
1	9096
1	9120
1	9357
1	9400
1	9420
1	9461
1	9479
1	9580
1	9600
1	9641
1	10035
1	10139
1	10204
1	10246
1	10315
1	10486
1	10513
1	10712
1	10721
1	10952
1	10977
1	11046
1	11291
1	11390
1	11402
1	11456
1	11602
1	11620
1	11725
1	11765
1	11780
1	11811
1	11843
1	11847
1	11931
1	11950
1	12189
1	12318
1	12535
1	12599
1	12627
1	12706
1	13085
1	13166
1	13240
1	13347
1	13494
1	13847
1	13855
1	13875
1	13987
1	14011
1	14112
1	14287
1	14302
1	14306
1	14337
1	14483
1	14564
1	14699
1	15209
1	15266
1	15398
1	15515
1	15543
1	15605
1	15839
1	16037
1	16120
1	16183
1	16346
1	16550
1	16630
1	16681
1	16944
1	17133
1	17283
1	17781
1	17857
1	17866
1	18182
1	18321
1	18537
1	19083
1	19358
1	19469
1	19502
1	19511
1	19523
1	19525
1	19572
1	19607
1	19734
1	19951
1	20020
1	20128
1	20483
1	20751
1	20759
1	20826
1	20916
1	21122
1	21278
1	21503
1	21921
1	22051
1	22077
1	22399
1	22435
1	22459
1	22918
2	4
2	8
2	10
2	15
2	17
2	20
2	25
2	30
2	36
2	43
2	46
2	49
2	56
2	72
2	75
2	89
2	98
2	126
2	136
2	162
2	177
2	195
2	236
2	243
2	260
2	264
2	269
2	274
2	277
2	278
2	283
2	294
2	296
2	305
2	326
2	327
2	329
2	330
2	334
2	375
2	428
2	444
2	478
2	496
2	521
2	529
2	533
2	581
2	609
2	613
2	628
2	635
2	636
2	717
2	751
2	765
2	830
2	841
2	852
2	865
2	917
2	931
2	981
2	984
2	1029
2	1058
2	1070
2	1081
2	1131
2	1142
2	1156
2	1198
2	1279
2	1390
2	1409
